Altium Designer Pick and Place Locations
D:\Hardware Design\Projects\InProgress\I2C_Shield\Project Outputs for I2C_Shield\Pick Place\Pick Place for I2C_Shield_VCUT.txt

========================================================================================================================
File Design Information:

Date:       30.09.24
Time:       23:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                             
C6         CL21B104KBCNNNC           TopLayer    CAP_0805                  1137.795      997.068       90       "CAP CER 100nF %10 0805"                                                                                                
U2         LTC2990IMS#TRPBF          TopLayer    MSOP-10                   1452.756      522.638       90       "Ms-System Monitor/Other I2c Temperature, Voltage And Current Monitor"                                                  
U1         ADXL345BCCZ               TopLayer    14-VFLGA                  1000.305      1075.803      90       "Analog Devices - ADXL345BCCZ - Mems Accelerometer, 3-AXIS, Digital, X, Y, Z, ± 2G, ± 4G, ± 8G, ± 16G, 2 V, 3.6 V, LGA" 
SW2        "PTS815 SJK 250 SMTR LFS" TopLayer    BUTTON_SMD                357.126       783.464       180      "Microminiature Top Actuated Tactile Switch Momentary SPST-NO 50mA 12VDC Surface Mount T/R"                             
SW1        "PTS815 SJK 250 SMTR LFS" TopLayer    BUTTON_SMD                357.126       1422.607      180      "Microminiature Top Actuated Tactile Switch Momentary SPST-NO 50mA 12VDC Surface Mount T/R"                             
R13        CC0805KRX7R9BB471         TopLayer    CAP_0805                  1885.827      958.661       270      "CAP CER 470PF 50V X7R 0805"                                                                                            
R12        RL1206FR-070R01L          TopLayer    RES_1206                  1889.764      618.110       270      "Res Thick Film 1206 0.01 Ohm 1% 0.25W(1/4W) ±1500ppm/C Pad SMD Automotive T/R"                                         
R11        RC0805JR-0710KL           BottomLayer RES_0805                  952.756       1271.653      270      "RES 10K OHM 5% 1/8W 0805"                                                                                              
R10        RC0603JR-074K7L           BottomLayer RES_0603                  791.339       1090.551      270      "RES 4K7 %5 OHM 0603 SMD"                                                                                               
R9         RC0603JR-074K7L           BottomLayer RES_0603                  787.402       1255.906      90       "RES 4K7 %5 OHM 0603 SMD"                                                                                               
R8         RC0805FR-07470RL          TopLayer    RES_0805                  1433.735      1075.318      270      "RES 470 OHM 1% 1/8W 0805"                                                                                              
R7         RC0805FR-07470RL          TopLayer    RES_0805                  1574.803      933.071       180      "RES 470 OHM 1% 1/8W 0805"                                                                                              
R6         RC0805FR-07470RL          TopLayer    RES_0805                  1574.803      1215.353      0        "RES 470 OHM 1% 1/8W 0805"                                                                                              
R5         RC0805FR-07470RL          TopLayer    RES_0805                  1716.134      1075.318      270      "RES 470 OHM 1% 1/8W 0805"                                                                                              
R4         RC0805FR-07470RL          TopLayer    RES_0805                  265.748       86.614        180      "RES 470 OHM 1% 1/8W 0805"                                                                                              
R3         RC0805JR-0710KL           TopLayer    RES_0805                  281.496       645.669       270      "RES 10K OHM 5% 1/8W 0805"                                                                                              
R2         RC0805JR-0710KL           TopLayer    RES_0805                  281.496       1287.401      90       "RES 10K OHM 5% 1/8W 0805"                                                                                              
R1         RC0805FR-07470RL          TopLayer    RES_0805                  438.976       1295.276      270      "RES 470 OHM 1% 1/8W 0805"                                                                                              
J7         282836-2                  TopLayer    TERMINAL                  2097.441      1102.362      270      "Connector, Terminal Block; Wire Receptacle; 2 Pos.; 16-30 AWG; 0.197 in. CL; Sid"                                      
J6         282836-2                  TopLayer    TERMINAL                  2097.441      636.811       270      "Connector, Terminal Block; Wire Receptacle; 2 Pos.; 16-30 AWG; 0.197 in. CL; Sid"                                      
J5         PPTC041LFBN-RC            TopLayer    4x1_Female_Header_2.54mm  709.751       1075.803      270      "CONN HEADER FEMALE 4POS .1 TIN"                                                                                        
